normal,lazy,noised,random,server,echo,small,round
6,1,0,1,0,1,1,1
6,1,0,1,0,1,1,2
5,0,0,2,0,1,2,3
4,0,0,2,0,3,1,4
7,1,0,0,0,2,0,5
6,0,0,1,0,2,1,6
5,0,0,2,0,1,2,7
6,0,0,1,0,3,0,8
3,1,0,1,0,4,1,9
1,1,0,4,0,1,3,10
0,4,0,3,0,2,1,11
2,2,0,1,0,3,2,12
3,1,0,2,0,0,4,13
0,4,0,3,0,2,1,14
2,1,0,4,0,2,1,15
0,3,0,0,0,3,4,16
2,3,0,1,0,2,2,17
4,2,0,1,0,2,1,18
1,3,0,1,0,4,1,19
4,0,0,1,0,3,2,20
1,2,0,3,0,1,3,21
0,3,0,1,0,4,2,22
6,0,0,2,0,0,2,23
0,2,0,4,0,1,3,24
4,0,0,3,0,1,2,25
1,3,0,4,0,2,0,26
3,2,0,2,0,1,2,27
1,3,0,0,0,4,2,28
1,1,0,3,0,2,3,29
1,2,0,2,0,2,3,30
