round,client_id,added_type
3,0,small
3,9,federated
3,1,random
3,4,federated
3,7,echo
3,6,small
3,2,federated
3,3,random
3,8,federated
3,5,federated
4,4,random
4,1,echo
4,8,random
4,6,federated
4,7,federated
4,2,small
4,5,federated
4,3,echo
4,9,federated
4,0,echo
5,9,federated
5,2,federated
5,3,federated
5,8,federated
5,6,federated
5,0,echo
5,5,lazy
5,4,federated
5,1,federated
5,7,echo
6,8,federated
6,2,echo
6,0,federated
6,5,federated
6,3,random
6,4,small
6,7,echo
6,9,federated
6,1,federated
6,6,federated
7,3,echo
7,7,small
7,0,federated
7,1,federated
7,5,federated
7,2,small
7,8,federated
7,9,random
7,4,federated
7,6,random
8,8,echo
8,7,random
8,4,federated
8,0,federated
8,9,echo
8,5,federated
8,6,federated
8,2,federated
8,3,echo
8,1,federated
9,8,echo
9,6,random
9,5,federated
9,9,federated
9,2,echo
9,1,echo
9,3,federated
9,7,small
9,0,echo
9,4,lazy
10,4,random
10,7,random
10,6,random
10,1,echo
10,5,small
10,9,lazy
10,2,small
10,3,small
10,8,federated
10,0,random
11,9,lazy
11,1,lazy
11,4,lazy
11,7,random
11,6,lazy
11,3,echo
11,0,echo
11,5,small
11,2,random
11,8,random
12,7,echo
12,8,small
12,3,federated
12,6,small
12,4,federated
12,9,echo
12,5,lazy
12,2,random
12,0,echo
12,1,lazy
13,3,small
13,5,small
13,8,random
13,6,federated
13,1,small
13,0,small
13,7,random
13,2,federated
13,4,lazy
13,9,federated
14,1,lazy
14,5,random
14,7,random
14,2,random
14,4,lazy
14,9,echo
14,6,lazy
14,8,lazy
14,0,echo
14,3,small
15,5,random
15,0,echo
15,2,federated
15,9,random
15,1,small
15,6,random
15,8,lazy
15,3,random
15,7,echo
15,4,federated
16,6,small
16,5,echo
16,4,lazy
16,9,echo
16,1,small
16,0,lazy
16,2,small
16,7,small
16,8,lazy
16,3,echo
17,6,echo
17,2,federated
17,0,echo
17,8,small
17,3,lazy
17,5,random
17,4,federated
17,1,lazy
17,7,lazy
17,9,small
18,0,federated
18,1,small
18,9,echo
18,5,federated
18,8,lazy
18,2,federated
18,3,random
18,4,echo
18,7,lazy
18,6,federated
19,6,echo
19,5,federated
19,4,random
19,8,lazy
19,3,small
19,7,lazy
19,2,echo
19,0,echo
19,9,echo
19,1,lazy
20,7,federated
20,8,echo
20,0,echo
20,1,federated
20,2,random
20,6,echo
20,4,small
20,5,small
20,3,federated
20,9,federated
21,3,small
21,8,echo
21,7,random
21,1,lazy
21,4,small
21,2,random
21,0,random
21,6,small
21,9,federated
21,5,lazy
22,2,small
22,0,random
22,8,lazy
22,4,echo
22,6,lazy
22,9,small
22,3,echo
22,7,lazy
22,1,echo
22,5,echo
23,1,federated
23,0,small
23,6,random
23,7,federated
23,3,random
23,9,federated
23,5,federated
23,2,small
23,8,federated
23,4,federated
24,2,random
24,1,lazy
24,3,random
24,7,random
24,6,small
24,8,small
24,0,echo
24,4,small
24,5,lazy
24,9,random
25,3,small
25,4,random
25,7,federated
25,2,echo
25,0,small
25,5,federated
25,8,random
25,1,random
25,9,federated
25,6,federated
26,9,lazy
26,4,echo
26,3,echo
26,8,random
26,5,federated
26,2,lazy
26,7,lazy
26,0,random
26,1,random
26,6,random
27,8,echo
27,2,random
27,6,small
27,7,federated
27,0,federated
27,9,lazy
27,1,federated
27,4,lazy
27,3,small
27,5,random
28,2,echo
28,3,lazy
28,4,small
28,1,lazy
28,5,lazy
28,9,federated
28,8,small
28,7,echo
28,0,echo
28,6,echo
29,2,echo
29,4,federated
29,8,lazy
29,6,echo
29,5,small
29,1,small
29,7,random
29,3,random
29,9,small
29,0,random
30,2,lazy
30,5,echo
30,6,small
30,1,lazy
30,7,echo
30,8,small
30,3,small
30,4,federated
30,9,random
30,0,random
