round,global_loss
1,6.0647949932861325
2,3.838335581359863
3,4.137294156646728
4,10.216353868103027
5,5.997224836730957
6,1.7123908061981201
7,2.4163943556976317
8,5.620012485504151
9,2.205101880493164
10,2.5169817819976807
11,44.93380162963867
12,17.569145975341797
13,4.039540985031128
14,9.521937839050294
15,18.873245873413087
16,15.754421732177734
17,3.2965173101043703
18,3.800785907974243
19,2.694858477935791
20,3.1797984712982177
21,3.3157693634033203
22,21.73369975402832
23,10.050948192749024
24,4.00165743057251
25,46.06136100708008
26,3.2331902085876463
27,11.884819650878907
28,4.395773974914551
29,2.259353921737671
30,45.21667451538086
